Place,CountryState,Popularity,Latitude,Longitude
North Bay underwater activity,Andaman and Nicobar Islands(India),Tier V,11.70450271,92.75168232
Cellular Jail,Andaman and Nicobar Islands(India),Tier III,11.67478753,92.74784359
Marina Park,Andaman and Nicobar Islands(India),Tier IV,11.66984172,92.7473882
Zonal Anthropological Museum,Andaman and Nicobar Islands(India),Tier V,11.66462735,92.74011819
Naval Marine Museum Samudrika,Andaman and Nicobar Islands(India),Tier V,11.67179525,92.72635606
Saint Martins Island,Bangladesh,Tier V,20.62495711,92.32339835
Sajek Valley,Bangladesh,Tier III,23.38378904,92.29388869
Krang Suri Waterfall,Meghalaya(India),Tier V,25.28787756,92.12516551
Inani Beach,Bangladesh,Tier V,21.22986917,92.04733464
Ratargul Swamp Forest,Bangladesh,Tier IV,25.01418379,91.91869916
Laitlum Canyon,Meghalaya(India),Tier IV,25.45065073,91.91185719
"Living Root Bridge, Riwai Village",Meghalaya(India),Tier IV,25.20663634,91.89729883
Umiam Lake Viewpoint,Meghalaya(India),Tier III,25.65109755,91.89383366
Don Bosco Museum,Meghalaya(India),Tier IV,25.59280022,91.88272608
Lady Hydari Park,Meghalaya(India),Tier IV,25.56590923,91.88199091
"Shillong View Point, Laitkor Peak",Meghalaya(India),Tier IV,25.54731632,91.87494595
"Elephant Falls, Shillong",Meghalaya(India),Tier III,25.53751844,91.82253418
Air Force Museum,Meghalaya(India),Tier V,25.53671774,91.82134379
"SCIENCE MUSEUM, Khanapara Guwahati",Assam(India),Tier III,26.12047525,91.81604726
Mawkdok Dympep Valley View Point,Meghalaya(India),Tier IV,25.4217038,91.79155591
Patenga Sea Beach,Bangladesh,Tier IV,22.23529525,91.79130205
Lawachara National Park,Bangladesh,Tier IV,24.32505574,91.78715386
Assam State Zoo cum Botanical Garden,Assam(India),Tier II,26.16360689,91.78137132
Garden Of Caves,Meghalaya(India),Tier V,25.31255736,91.76051706
Assam State Museum,Assam(India),Tier IV,26.1853517,91.75208642
Mawsmai Nongthymmai Eco Park,Meghalaya(India),Tier V,25.24445156,91.73814189
Seven Sisters Waterfall,Sikkim(India),Tier IV,25.23991482,91.72940893
Arwah Cave,Meghalaya(India),Tier V,25.29863554,91.72636993
Mawsmai Cave,Meghalaya(India),Tier III,25.2445609,91.72410048
Nohkalikai Falls View point,Meghalaya(India),Tier IV,25.27130769,91.68990588
Wei Sawdong Falls,Meghalaya(India),Tier V,25.29166705,91.67828639
Double Decker Living Root Bridge,Meghalaya(India),Tier V,25.25124971,91.67194417
Neermahal (Twijilikma Nuyung),Tripura(India),Tier V,23.50649629,91.31496259
Heritage Park,Bangladesh,Tier V,23.85654489,91.28491015
Ujjayanta Palace,Tripura(India),Tier V,23.83732086,91.28272026
Manas National Park,Assam(India),Tier IV,26.81017425,91.23947847
Shalban Bihar,Bangladesh,Tier IV,23.42622971,91.13759578
Tanguar Haor,Bangladesh,Tier V,25.14004617,91.08831077
Banglar Taj Mahal,Bangladesh,Tier IV,23.74607752,90.56752862
Jamuna Future Park,Bangladesh,Tier I,23.81361939,90.42417034
Baitul Mukarram National Mosque,Bangladesh,Tier II,23.72941287,90.41275397
Bhawal National Park,Bangladesh,Tier IV,24.09020133,90.40731382
Ahsan Manzil Museum,Bangladesh,Tier III,23.70853759,90.40602111
Ramna Park,Bangladesh,Tier II,23.73758926,90.40128891
Sohrawardy Udyan,Bangladesh,Tier II,23.73224659,90.3999146
Central Shaheed Minar,Bangladesh,Tier III,23.72723597,90.39661779
Bangladesh National Museum,Bangladesh,Tier III,23.73745023,90.3948459
Bashundhara City Shopping Complex,Bangladesh,Priority,23.7511626,90.3906492
Lalbagh Fort,Bangladesh,Tier II,23.71883094,90.38814223
Bangladesh National Parliament House,Bangladesh,Tier IV,23.76234338,90.37849022
Dhanmondi Lake,Bangladesh,Tier V,23.74759426,90.37837265
Liberation War Museum,Bangladesh,Tier V,23.77572153,90.36968092
National Botanical Garden,Bangladesh,Tier IV,23.81272879,90.34762115
Bangladesh National Zoo,Bangladesh,Tier II,23.81224864,90.34692636
National Martyrs' Monument,Bangladesh,Tier III,23.91134743,90.25472904
