Name,Category,Popularity,Latitude,Longitude
Schönbrunn Palace Park,,Tier I,48.18024823,16.30984079
State Hermitage Museum,,Tier I,59.9398424,30.31457202
Vondelpark,,Tier I,52.35811247,4.869174122
Red Rocks Park and Amphitheatre,,Tier I,39.66559644,-105.2051402
"Ferrari World Yas Island, Abu Dhabi",,Tier I,24.48436315,54.60770899
Schönbrunn Zoo,,Tier I,48.18208687,16.30278057
The National Gallery,,Tier I,51.50893858,-0.128272694
The Centre Pompidou,,Tier I,48.86065477,2.352226048
Jerónimos Monastery,,Tier I,38.69792447,-9.206724549
Fountains of Bellagio,,Tier I,36.1127186,-115.1739247
Queen Victoria Market,,Tier I,-37.80759665,144.9567261
Kempty Falls,,Tier I,30.48781817,78.03668626
Ellora Caves,,Tier I,20.02675499,75.17706861
Pragati Maidan,Visited 8 years ago,Tier I,28.61899086,77.2441224
Hofburg,,Tier I,48.20564886,16.36477225
Tsukiji Outer Market,,Tier I,35.66477025,139.7702504
Himeji Castle,,Tier I,34.83943203,134.6938746
Jardin Majorelle,,Tier I,31.64122132,-8.003207513
National Palace of Sintra,,Tier I,38.79767862,-9.390616537
The Moscow Kremlin,,Tier I,55.75094228,37.61757334
Yosemite National Park,,Tier I,37.86510161,-119.5383266
Mayajaal Multiplex,,Tier I,12.8480088,80.23986826
Osaka Aquarium Kaiyukan,,Tier I,34.65455254,135.4289398
Jama Masjid,Visited 8 years ago,Tier I,28.65067879,77.23344787
Lincoln Memorial,,Tier I,38.88924497,-77.05016212
Indian Museum,,Tier I,22.55782669,88.35109974
Nek Chand’s Rock Garden of Chandigarh,,Tier I,30.75297875,76.80505331
St. Paul's Cathedral,,Tier I,51.51383329,-0.09835065
India Habitat Centre,,Tier I,28.58968187,77.22556662
Mercedes-Benz Museum,,Tier I,48.78814452,9.233981003
Abeno Harukas,,Tier I,34.64606999,135.5134723
"LEGOLAND® Billund Resort
",,Tier I,55.73510446,9.130901973
"Sanjay Gandhi Biological Park, Patna",,Tier I,25.6002837,85.09911073
"Royal Botanic Gardens, Kew",,Tier I,51.4787635,-0.295638454
Palau de la Música Catalana,,Tier I,41.38759106,2.175252351
USS Midway Museum,,Tier I,32.71377098,-117.1751322
Fortress Hohensalzburg,,Tier I,47.79494123,13.04765922
Palais des Papes,,Tier I,43.95087457,4.807683319
Lodhi Gardens,Visited 8 years ago,Tier I,28.59332117,77.22095304
Berlin TV Tower,,Tier II,52.52080317,13.40941453
Belgrade Fortress,,Tier II,44.82411734,20.45011829
Great Smoky Mountains National Park,,Tier II,35.61304749,-83.55315342
Chowmahalla Palace,,Tier II,17.35807333,78.47163923
VMRDA INS Kursura Submarine Museum,,Tier II,17.71718124,83.3301166
Indian Habitat Centre,Closes at 6 pm,Tier II,28.58968075,77.22550656
Stanley Park,,Tier II,49.30424624,-123.1443451
"Chittorgarh Fort
",,Tier II,24.88388538,74.64738734
Kolomenskoye,,Tier II,55.67042041,37.66946647
St. Isaac's Cathedral,,Tier II,59.93392109,30.30653047
Memorial to the Murdered Jews of Europe,,Tier II,52.51392776,13.37870197
Corvin's Castle,,Tier II,45.74935576,22.88824425
Santa Cruz Beach Boardwalk,,Tier II,36.96452125,-122.0166673
Westminster Abbey,,Tier II,51.49939155,-0.126931168
The Grand Venice Mall,,Tier II,28.45260459,77.52628905
Gold Museum,,Tier II,4.601901428,-74.07208344
Lotte World,,Tier II,37.5111583,127.0981564
Ramoji Film City,,Tier II,17.26412677,78.68182304
"Wonderla Amusement Park, Kochi",,Tier II,9.984480497,76.33275135
Dolmen Mall - Clifton,,Tier II,24.80213061,67.0300216
Bara Imambara,,Tier II,26.86857387,80.91270948
Papal Basilica of Saint Mary Major,,Tier II,41.89759867,12.49845144
DLF Promenade Mall,Visited,Tier II,28.54236831,77.15626726
"Magneto The Mall
",,Tier II,21.24090916,81.68419841
Sainte-Chapelle,,Tier II,48.85540228,2.344919024
Budapest Zoo & Botanical Garden,,Tier II,47.51899831,19.07764151
Sabarmati Riverfront Flower Park,,Tier II,23.01645899,72.5733924
Jemaa el-Fnaa,,Tier II,31.62596807,-7.98905446
Petra,,Tier II,30.32847283,35.44437519
Lindt Chocolate Museum,,Tier II,50.93164489,6.963822423
Peter and Paul Fortress,,Tier II,59.95005573,30.31667953
Mini Mundo,,Tier II,-29.38430063,-50.87580397
Berlin Wall Memorial,,Tier II,52.53505,13.39018263
Shakarparian National Park,,Tier II,33.68998811,73.09365582
Yellowstone National Park,,Tier II,44.59792123,-110.5612463
Ramna Park,,Tier II,23.73758926,90.40128891
Fenway Park,,Tier II,42.34668428,-71.09720394
Delhi Zoo,Closes at 5:30 pm,Tier II,28.60674531,77.24538774
The National Zoological Park,Closes at 5:30 pm,Tier II,28.60668924,77.24541936
Designer Outlet Parndorf,,Tier II,47.97591863,16.85191612
San Antonio River Walk,,Tier II,29.42297194,-98.48603637
Monterey Bay Aquarium,,Tier II,36.6182658,-121.901961
BMW Museum,,Tier II,48.17681955,11.55909426
Gwangjang Market,,Tier II,37.57004127,126.9996039
Golden Gate Park,,Tier II,37.76892676,-122.4829888
Royal Gallery of Saint Hubert,,Tier II,50.84808473,4.355249802
Alcatraz Island,,Tier II,37.82697537,-122.4229551
The Royal Palace,,Tier II,59.32681059,18.07175586
Agrasen ki Baoli,Closes at 5:30 pm,Tier II,28.62608079,77.2250369
VR Punjab,,Tier II,30.73777449,76.67920235
Akshardham Temple,Spare it,Tier II,28.61269624,77.27721592
Gwalior Fort,,Tier II,26.23136981,78.16952022
Nürburgring,,Tier II,50.33277649,6.945034128
Lake District National Park,,Tier II,54.49011309,-2.89265005
Kennedy Space Center Visitor Complex,,Tier II,28.52188784,-80.68153195
Shinjuku Gyoen National Garden,,Tier II,35.68516926,139.7100615
Humayun’s Tomb,Closes early,Tier II,28.5933091,77.25075232
DB City Mall,,Tier II,23.23274499,77.43025398
Angkor Wat,,Tier II,13.41259284,103.8668664
Eden Gardens,,Tier II,22.56459108,88.34311028
Imperial Castle of Nuremberg,,Tier II,49.45801467,11.07565535
Les Machines de l'Île,,Tier II,47.20616519,-1.564442071
Dilli Haat,After Summers,Tier II,28.57339879,77.20750397
Dilli Haat,Got negative Review from Relative,Tier II,28.5733809,77.20753255
LuLu Mall Thiruvananthapuram,,Tier II,8.512526328,76.89713027
Royal Ontario Museum,,Tier II,43.66769449,-79.39475273
Church of Saint Sava,,Tier II,44.79803463,20.46901092
Phoenix Park,,Tier II,53.35601024,-6.329480679
Jantar Mantar,,Tier II,26.92477154,75.82455597
